日期,星期,節日名稱
2017/01/01,日,開國紀念日
2017/01/02,一,補假
2017/01/27,五,農曆除夕
2017/01/28,六,春節
2017/01/29,日,春節
2017/01/30,一,春節
2017/01/31,二,補假
2017/02/01,三,補假
2017/02/27,一,調整放假
2017/02/28,二,和平紀念日
2017/04/03,一,補假
2017/04/04,二,兒童節及民族掃墓節
2017/05/29,一,調整放假
2017/05/30,二,端午節
2017/10/04,三,中秋節
2017/10/09,一,調整放假
2017/10/10,二,國慶日
2018/01/01,一,開國紀念日
2018/02/15,四,農曆除夕
2018/02/16,五,春節
2018/02/17,六,春節
2018/02/18,日,春節
2018/02/19,一,補假
2018/02/20,二,補假
2018/02/28,三,和平紀念日
2018/04/04,三,兒童節
2018/04/05,四,民族掃墓節
2018/04/06,五,調整放假
2018/06/18,一,端午節
2018/09/24,一,中秋節
2018/10/10,三,國慶日
2018/12/31,一,調整放假
2019/01/01,二,開國紀念日
2019/02/04,一,農曆除夕
2019/02/05,二,春節
2019/02/06,三,春節
2019/02/07,四,春節
2019/02/08,五,調整放假
2019/02/28,四,和平紀念日
2019/03/01,五,調整放假
2019/04/04,四,兒童節
2019/04/05,五,民族掃墓節
2019/06/07,五,端午節
2019/09/13,五,中秋節
2019/10/10,四,國慶日
2019/10/11,五,調整放假
2020/01/01,三,開國紀念日
2020/01/23,四,調整放假
2020/01/24,五,農曆除夕
2020/01/25,六,春節
2020/01/26,日,春節
2020/01/27,一,春節
2020/01/28,二,補假
2020/01/29,三,補假
2020/02/28,五,和平紀念日
2020/04/02,四,補假
2020/04/03,五,放假
2020/04/04,六,兒童節及民族掃墓節
2020/06/25,四,端午節
2020/06/26,五,調整放假
2020/10/01,四,中秋節
2020/10/02,五,調整放假
2020/10/09,五,補假
2020/10/10,六,國慶日
2021/01/01,五,開國紀念日
2021/02/10,三,調整放假
2021/02/11,四,農曆除夕
2021/02/12,五,春節
2021/02/13,六,春節
2021/02/14,日,春節
2021/02/15,一,補假
2021/02/16,二,補假
2021/02/28,日,和平紀念日
2021/03/01,一,補假
2021/04/02,五,補假
2021/04/04,日,兒童節及民族掃墓節
2021/04/05,一,補假
2021/06/14,一,端午節
2021/09/20,一,調整放假
2021/09/21,二,中秋節
2021/10/10,日,國慶日
2021/10/11,一,補假
2021/12/31,五,補假
2022/01/01,六,開國紀念日
2022/01/31,一,農曆除夕
2022/02/01,二,春節
2022/02/02,三,春節
2022/02/03,四,春節
2022/02/04,五,調整放假
2022/02/28,一,和平紀念日
2022/04/04,一,兒童節
2022/04/05,二,民族掃墓節
2022/06/03,五,端午節
2022/09/09,五,補假
2022/09/10,六,中秋節
2022/10/10,一,國慶日
2023/01/01,日,開國紀念日
2023/01/02,一,補假
2023/01/20,五,小年夜
2023/01/21,六,農曆除夕
2023/01/22,日,春節
2023/01/23,一,春節
2023/01/24,二,春節
2023/01/25,三,補假
2023/01/26,四,補假
2023/01/27,五,調整放假
2023/02/27,一,調整放假
2023/02/28,二,和平紀念日
2023/04/03,一,調整放假
2023/04/04,二,兒童節
2023/04/05,三,民族掃墓節
2023/06/22,四,端午節
2023/06/23,五,調整放假
2023/09/29,五,中秋節
2023/10/09,一,調整放假
2023/10/10,二,國慶日
2024/01/01,一,開國紀念日
2024/02/08,四,小年夜
2024/02/09,五,農曆除夕
2024/02/10,六,春節
2024/02/11,日,春節
2024/02/12,一,春節
2024/02/13,二,補假
2024/02/14,三,補假
2024/02/28,三,和平紀念日
2024/04/04,四,兒童節及民族掃墓節
2024/04/05,五,補假
2024/06/10,一,端午節
2024/09/17,二,中秋節
2024/10/10,四,國慶日
2025/01/01,三,開國紀念日
2025/01/27,一,小年夜
2025/01/28,二,農曆除夕
2025/01/29,三,春節
2025/01/30,四,春節
2025/01/31,五,春節
2025/02/28,五,和平紀念日
2025/04/03,四,補假
2025/04/04,五,兒童節及民族掃墓節
2025/05/30,五,補假
2025/05/31,六,端午節
2025/10/06,一,中秋節
2025/10/10,五,國慶日
