Year,Day,Date,Holiday Name,Type
2015,Thursday,Jan 01,Republic Day,National Holiday
2015,Wednesday,Feb 18,Lunar New Year,National Holiday
2015,Thursday,Feb 19,Lunar New Year,National Holiday
2015,Friday,Feb 20,Lunar New Year,National Holiday
2015,Saturday,Feb 21,Lunar New Year,National Holiday
2015,Sunday,Feb 22,Lunar New Year,National Holiday
2015,Monday,Feb 23,Lunar New Year,National Holiday
2015,Monday,Feb 23,Lunar New Year,National Holiday
2015,Friday,Feb 27,Peace Memorial Day Holiday (in lieu),National Holiday
2015,Thursday,Mar 05,Lantern Festival,Not A Public Holiday
2015,Friday,Apr 03,Children's Day Holiday (in lieu),National Holiday
2015,Sunday,Apr 05,Tomb-Sweeping Day,National Holiday
2015,Monday,Apr 06,Tomb-Sweeping Day (in lieu),National Holiday
2015,Sunday,May 10,Mother's Day,Not A Public Holiday
2015,Friday,Jun 19,Dragon Boat Festival,National Holiday
2015,Saturday,Jun 20,Dragon Boat Festival,National Holiday
2015,Saturday,Aug 08,Father's Day,Not A Public Holiday
2015,Monday,Sep 28,Mid-Autumn Festival,National Holiday
2015,Friday,Oct 09,National Day (in lieu),National Holiday
2015,Saturday,Oct 10,National Day,National Holiday
2015,Wednesday,Oct 21,Double Ninth Day,Not A Public Holiday
2016,Friday,Jan 01,Republic Day,National Holiday
2016,Sunday,Feb 07,Lunar New Year,National Holiday
2016,Monday,Feb 08,Lunar New Year,National Holiday
2016,Tuesday,Feb 09,Lunar New Year,National Holiday
2016,Wednesday,Feb 10,Lunar New Year,National Holiday
2016,Thursday,Feb 11,Lunar New Year,National Holiday
2016,Friday,Feb 12,Lunar New Year,National Holiday
2016,Monday,Feb 22,Lantern Festival,Not A Public Holiday
2016,Monday,Feb 29,Peace Memorial Day Holiday (in lieu),National Holiday
2016,Monday,Apr 04,Children's Day,National Holiday
2016,Tuesday,Apr 05,Tomb-Sweeping Day,National Holiday
2016,Sunday,May 08,Mother's Day,Not A Public Holiday
2016,Thursday,Jun 09,Dragon Boat Festival,National Holiday
2016,Friday,Jun 10,Dragon Boat Festival,National Holiday
2016,Monday,Aug 08,Father's Day,Not A Public Holiday
2016,Thursday,Sep 15,Mid-Autumn Festival,National Holiday
2016,Friday,Sep 16,Mid-Autumn Festival,National Holiday
2016,Wednesday,Sep 28,Teacher's Day,National Holiday
2016,Sunday,Oct 09,Double Ninth Day,Not A Public Holiday
2016,Monday,Oct 10,National Day,National Holiday
2017,Sunday,Jan 01,Republic Day,National Holiday
2017,Friday,Jan 27,Chinese New Year's Eve,National Holiday
2017,Saturday,Jan 28,Lunar New Year,National Holiday
2017,Sunday,Jan 29,Lunar New Year,National Holiday
2017,Monday,Jan 30,Lunar New Year,National Holiday
2017,Tuesday,Jan 31,Lunar New Year,National Holiday
2017,Wednesday,Feb 01,Lunar New Year,National Holiday
2017,Saturday,Feb 11,Lantern Festival,Not A Public Holiday
2017,Tuesday,Feb 28,Peace Memorial Day,National Holiday
2017,Monday,Apr 03,Tomb Sweeping Day Holiday,National Holiday
2017,Tuesday,Apr 04,Children's Day,National Holiday
2017,Monday,May 01,Labor day,National Holiday
2017,Sunday,May 14,Mother's Day,Not A Public Holiday
2017,Tuesday,May 30,Dragon Boat Festival,National Holiday
2017,Tuesday,Aug 08,Father's Day,Not A Public Holiday
2017,Wednesday,Oct 04,Mid-Autumn Festival,National Holiday
2017,Tuesday,Oct 10,National Day,National Holiday
2017,Saturday,Oct 28,Double Ninth Day,Not A Public Holiday
2018,Monday,Jan 01,Republic Day,National Holiday
2018,Thursday,Feb 15,Lunar New Year,National Holiday
2018,Friday,Feb 16,Lunar New Year,National Holiday
2018,Saturday,Feb 17,Lunar New Year,National Holiday
2018,Sunday,Feb 18,Lunar New Year,National Holiday
2018,Monday,Feb 19,Lunar New Year,National Holiday
2018,Tuesday,Feb 20,Lunar New Year,National Holiday
